title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
3 Count Bout	3 Count Bout	3 Count Bout	3 Count Bout is a one-on-one fighting game. Choose from ten wrestlers who have their own power attacks. There are ten rounds in the game, and each one of them has you fighting other wrestlers that are much tougher than the previous ones. You defeat each one by biting, kicking, and performing other moves to the point where their damage meter is empty. But just because it is empty doesn't mean that you win. You have to pin him for the infamous-three count. Also features competitive play and tag match battles.\n\n3 Count Bout by SNK Corporation attempts to take you into the world of professional wrestling by giving you control of one of many different wrestlers as you fight both in the ring and in the seedy underworld in your quest to become an accomplished wrestling champion. Choose from one of ten different characters, each with his own strengths and weaknesses, and employ your wrestling moves using a combination of three buttons. There are also a number of hidden moves and combinations which can be unlocked for even greater variety in the gameplay. When you have your opponent on the mat, keep him there until the count of three and you've won the match. In two-player mode, you can either take on your opponent in a match or wrestle tag team. This game uses the Neo-Geo MVS cartridge system.	Amazon			SNK	"Arcade	Fighting	Sport"	SNK	1993-03-25	1993-03-25	Action			LowPriority		False		https://images.gog.com/fb04bae1b9dceb43018573309c38ea87a47bfff8679e5f22d944302c5ad12767_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3673afca103d5941c0ce6157c21ffad34312d5890c7504a02e702ffe2d3f311d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f9ed94ef3525ad093c856b32b3306405611f495786b85c60df690538dece540f_glx_vertical_cover.webp?namespace=gamesdb
3 out of 10: Season Two	3 out of 10: Season Two	3 out of 10 Season Two	Caffeinated super-powers, sentient AIs, and rival game studios all stand in the way of Shovelworks studios as they struggle to finally make a game that scores better than “3 out of 10”. Will this be the Season that they finally do it?	Epic Games Store			Terrible Posture Games	Adventure	Terrible Posture Games	2021-04-08	2021-04-08	Comedy	7		LowPriority		False	Windows	https://images.gog.com/727f5c5dc6d22b146c3fbdfd890bcdcb4767b3877f323e438b110e729b8e6a22_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/2bd6f2bb8932ffbce60289942b99a68edc4bb8ec64568d33828f0a1210735bd3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fafa74fc18562f17e35a5fda2a4ccf1df0376140a4343c0d2cccc81f7b3a9b0b_glx_vertical_cover.webp?namespace=gamesdb
9 Years of Shadows	9 Years of Shadows	9 Years of Shadows	9 Years of Shadows is an emotionally-driven Metroidvania, enhanced by healing music that tells the story of Europa, a young woman of noble birth tasked with ending the curse that plagues her people and restoring color to all lands.	Steam			Halberd Studios	"Adventure	Indie	Platform	Role-playing (RPG)"	Freedom Games	2023-03-27	2023-03-27	"Action	Fantasy"			HighPriority		False	Windows	https://images.gog.com/5a81fcaf2a7d39f552a9e9576e94ffe023c8ee6c87492fc13124b526a2b5d936_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4ee6b7492cb030a07b2f647aecf85d190efdf2e35c503aabef5c99c278289a14_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/96a9dff985f6c77e8cca0a24c9a77e66ce459dc6bbdc9ac1972cb3e72406a5d7_glx_vertical_cover.webp?namespace=gamesdb
20 Minutes Till Dawn	20 Minutes Till Dawn	20 Minutes Till Dawn	Shoot down an ever growing horde of Lovecraftian monsters to survive the night. Choose from a variety of upgrades to create unique and game-breaking builds. Unlock a diverse cast of characters and weapons with unique powers.	Epic Games Store			flanne	"Adventure	Arcade	Indie	Role-playing (RPG)	Shooter	Strategy"	"Erabit Studios	flanne"	2022-09-05	2022-09-05	"Action	Horror	Survival"	73		Maybe Return		False	"macOS	Windows"	https://images.gog.com/a9496a68e60138bc54514978d4255d1bb41ccd69639cf6846fb8b52f2538ee6f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a6d35db4603a64bf275627282c40e146fa022142d6589a4f594932db4a3ff5e9_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/dc6e09d21833f3696ca9d9ff3f9b9758e71d669ef1f912c084a99d5f078c13dc_glx_vertical_cover.webp?namespace=gamesdb
911 Operator	911 Operator	911 Operator	911 Operator is a game about the difficult work of people that manage emergency lines and services. Main task is to answer incoming calls and to react properly - give first aid instructions, advise, dispatch correct number of firemen / police / ambulances, or sometimes just ignore the call.	Epic Games Store		76	Jutsu Games	"Indie	Simulator	Strategy"	"Code Horizon	PlayWay	SONKA"	2017-02-24	2017-02-24	Business	1		LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/806d406fd0a97632e748a221ff6216900bd1abf56147b5e27c9fc2eede018c0a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/65fdc726b0c36539663682313824b376bb64e13ebaa0b5f4493825c6b5181bc1_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fd98901f03f8c4f11e46194813b091234b1e1b1e9589a6d4eff0ab610b9c69d6_glx_vertical_cover.webp?namespace=gamesdb
A Game Of Thrones: The Board Game Digital Edition	A Game Of Thrones: The Board Game Digital Edition	A Game Of Thrones The Board Game Digital Edition	When you play the Game of Thrones... you win or you die... In this turn-based strategy game based on A Song of Ice and Fire novel series by G.R.R Martin, experience the wars and intrigues of Westeros by playing as one of the 6 Great Houses. In A Game of Thrones: The Board Game, the ambitious Lannisters, the stalwart Starks, the cunning Martells and other Houses are struggling to seize the crown. Lead the Greyjoys on their pillages or consolidate your forces as the Tyrells, the choice is yours. In this war-torn land, where alliances are made and broken, armies clash and the royal court is filled with schemes; will you be able to establish your dominance? Conquer fortresses and castles to solidify your claim to the throne, but beware of your neighbors. Will you be able to seize the crown for yourself?	Epic Games Store				"Card & Board Game	Strategy"		2021-04-07	2021-04-07	Fantasy			LowPriority		False	"macOS	Windows"	https://images.gog.com/a9e659d315daf95fee30aca2e1ce7f44ec2f6b01ba611add3190323693503fcc_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/88b6641e3df42791bf59135b06bb9674cd5284366c135fd67eeed414fe5a5d63_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/de6ffe2f9310f3c4a697c1f6d0170cb122574f9c319f3d5b63ee4ed11a83ba3f_glx_vertical_cover.webp?namespace=gamesdb
A Plague Tale: Innocence	A Plague Tale: Innocence	A Plague Tale Innocence	A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through 14th-century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark secret. On the run from the Inquisition's soldiers, surrounded by unstoppable swarms of rats incarnating the Black Death, Amicia and Hugo will learn to know and trust each other as they struggle for their lives against all odds.	"Epic Games Store	GOG"		81	Asobo Studio	"Adventure	Role-playing (RPG)"	Focus Entertainment	2019-05-14	2019-05-14	"Action	Drama	Fantasy	Historical	Stealth"			HighPriority		False	Windows	https://images.gog.com/2ca4dee8e58745546bfd9305dc38e16e4fe699bca0bd3297fc835fdd0fc00e3b_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/eecd71f5b65bb9672434cb1f7249a4e5e251ee994339835eb4f6a9ac5fcd5ef7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/d011a348d40d61f090cb1aae27f2113e0cd242dec6dec92d648f0221da95c9c8_glx_vertical_cover.webp?namespace=gamesdb
A Plague Tale: Innocence - Amazon Prime	A Plague Tale: Innocence - Amazon Prime	A Plague Tale Innocence Amazon Prime	"\n<img src=""https://items.gog.com/a_plague_tale_innocence/new/Logo_Header.png"">\nFollow the grim tale of young Amicia and her little brother Hugo, in a heartrending journey through the darkest hours of history. Hunted by Inquisition soldiers and surrounded by unstoppable swarms of rats, Amicia and Hugo will come to know and trust each other. As they struggle to survive against overwhelming odds, they will fight to find purpose in this brutal, unforgiving world.\n\n\n\n\n\n<img src=""https://items.gog.com/a_plague_tale_innocence/new/Frise_Story_smallerrat_ENG.png"">\n\n\n\n1349. The plague ravages the Kingdom of France. Amicia and her younger brother Hugo are pursued by the Inquisition through villages devastated by the disease. On their way, they will have to join forces with other children, and evade swarms of rats using fire and light. Aided only by the link that binds their fates together, they will face untold horrors in their struggle to survive.\n\nAs their adventure begins… the time of innocence ends.\n\n\n\n\n\n<img src=""https://items.gog.com/a_plague_tale_innocence/new/Frise_Characters_smallerat_ENG.png"">\n<img src=""https://items.gog.com/a_plague_tale_innocence/new/ENG_Bloc_Characters_INT.png"">\n\n\n\n<video muted preload=""auto"" loop autoplay=""autoplay"" style=""margin: auto;display:block;width:100%"">\n  <source src=""https://items.gog.com/a_plague_tale_innocence/mp4/APT_GIF.mp4"" type=""video/mp4""></video>\n\nproduct_feature_1901367087"	GOG						2025-06-02	2025-06-02						False				
A Tiny Sticker Tale	A Tiny Sticker Tale	A Tiny Sticker Tale	A Tiny Sticker Tale is a cozy miniature adventure about changing the world, using the power of stickers!	Amazon			Ogre Pixel	"Adventure	Indie	Puzzle"	Ogre Pixel	2023-10-04	2023-10-04				LowPriority		False		https://images.gog.com/94236d365ec90412796f95742247c266292bf4d957c6637c1c6fc92965657ebc_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/b6b41dd57db8c49a6d99a9f8e597be651e4503966e9253cb21834ef2851d4c91_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9d872c172999ede58ec7be1b4011e7a14c2c37747989b235876c6195cdb6c470_glx_vertical_cover.webp?namespace=gamesdb
Absolute Drift	Absolute Drift	Absolute Drift	In Absolute Drift, you will master the art of drifting. Practice your skills in Free-Roam and compete in drift events such as Driftkhana and Mountain Drifting.	"Epic Games Store	GOG"		60	Funselektor Labs	"Arcade	Indie	Racing	Simulator	Sport"	Funselektor Labs	2015-07-29	2015-07-29	"Action	Open world"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/f9875e4f9f2125007f6a7969b5c101850e9c4d1c8fe069dc82c4bb60ebc413ad_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8d3ae65ad3eeb135c284838f109c5988e27253315419a09ae781885c0a2a2a76_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5610076c2e08b70452f744ea069f973244763dcaa5f1070998a4e1f5a5ece097_glx_vertical_cover.webp?namespace=gamesdb
